同学帮你，要说对不起？,1,1,6,True or False,FALSE,TRUE,FALSE,,
阿姨送你礼物，要说谢谢？,1,1,6,True or False,TRUE,TRUE,FALSE,,
不小心撞了人，要说对不起？,1,1,6,True or False,TRUE,TRUE,FALSE,,
上课迟到，应该对老师说不客气？,1,1,6,True or False,TRUE,TRUE,FALSE,,
人家对你说谢谢的时候，该回答没关系？,1,1,6,True or False,FALSE,TRUE,FALSE,,
小白兔撞到了小鸭，不好意思地说：____,1,1,6,Fill in the blanks,对不起,对不起,的,不客气,没关系
小鸭笑这回答：_____,1,1,6,Fill in the blanks,没关系,谢谢你,不客气,没关系,对不起
狐狸吃不到架上____葡萄,1,1,6,Fill in the blanks,的,不客气,对不起,的,谢谢你
山羊大叔让小白兔先过，小白兔有礼貌地说：____,1,1,6,Fill in the blanks,谢谢你,谢谢你,没关系,对不起,不客气
山羊大叔高兴地回答说：_____,1,1,6,Fill in the blanks,不客气,不客气,没关系,谢谢你,的
What is the meaning of 不好意思？,1,1,6,Multiple choice,Excuse me,Thank you,Excuse me,Meet,Fruit
What is the meaning of 果皮？,1,1,6,Multiple choice,Peel,Mango,Welcome,Hello,Peel
What is the meaning of 碰见？,1,1,6,Multiple choice,Meet,Meet,How are you?,Sister,Swimming
What is the meaning of 大叔？,1,1,6,Multiple choice,uncle,No worries,Uncle,Mama,Books
What is the meaning of 果子？,1,1,6,Multiple choice,fruit,Fruit,Candy,Dog,Cat
有时候晚上会出现很多星星。,2,2,6,True or False,TRUE,TRUE,FALSE,,
医生让他在街上躺下。,2,2,6,True or False,FALSE,TRUE,FALSE,,
妹妹病了医生给她吃糖果。,2,2,6,True or False,FALSE,TRUE,FALSE,,
白天做的事比晚上多。,2,2,6,True or False,TRUE,TRUE,FALSE,,
弟弟蹲在街上玩儿是安全的。,2,2,6,True or False,FALSE,TRUE,FALSE,,
_____你们来菲律宾玩儿。,2,2,6,Fill in the blanks,欢迎,吓,欢迎,做梦,溜
主人不在，小猫____进厨房偷吃东西。,2,2,6,Fill in the blanks,溜,溜,蹲,做梦,欢迎
小芳最喜欢吃糖，连_____也上池糖,2,2,6,Fill in the blanks,做梦,做梦,溜,蹲,吓
小偷_____在黑暗处怕人发现,2,2,6,Fill in the blanks,蹲,欢迎,蹲,做梦,吓
小偷___坏了，赶快逃走,2,2,6,Fill in the blanks,吓,吓,蹲,溜,欢迎
What is the meaning of 白天？,2,2,6,Multiple choice,Daytime,Daytime,Evening,Boy,Cup
What is the meaning of 做梦？,2,2,6,Multiple choice,dream,Cellphone,Dream,Medicine,Nurse
What is the meaning of 吓了一跳？,2,2,6,Multiple choice,shocked,Bread,Soup,Shocked,Car
What is the meaning of 黑暗？,2,2,6,Multiple choice,dark,Light,Dark,Rain,Sun
What is the meaning of 小偷？,2,2,6,Multiple choice,thief,Clothes,Shoes,Laptop,Thief
三四天的意思是三天到四天,3,3,6,True or False,TRUE,TRUE,FALSE,,
三百多块钱是比三百少一点,3,3,6,True or False,FALSE,TRUE,FALSE,,
十几块是比十块多,3,3,6,True or False,TRUE,TRUE,FALSE,,
一分钟能吃完一碗饭,3,3,6,True or False,FALSE,TRUE,FALSE,,
一天应该喝七八杯水,3,3,6,True or False,TRUE,TRUE,FALSE,,
班上有_____左右。,3,3,6,Fill in the blanks,四十个人,十八个人,十几块,两三天,五六十个
我认识了_____汉字。,3,3,6,Fill in the blanks,五六十个,七八本,四十个人,两三天,五六十个
妹妹花了____的糖果。,3,3,6,Fill in the blanks,十几块,两三天,七八本,十几块,三四个人
桌上有_____故事书,3,3,6,Fill in the blanks,七八本,七八本,两三天,五六十个,四十个人
下文_____没来上学了。,3,3,6,Fill in the blanks,两三天,两三天,七八本,我i六十个,四十个人
What is the meaning of 运动员?,3,3,6,Multiple choice,athlete,Competition,Boat,Car,Athlete
What is the meaning of 喷气?,3,3,6,Multiple choice,Jet,Jet,Airplane,Horse,Bike
What is the meaning of 飞行?,3,3,6,Multiple choice,flight,Water,Rice,Flight,Fan
What is the meaning of 世界?,3,3,6,Multiple choice,world,World,Sky,Rain,Bread
What is the meaning of 客机?,3,3,6,Multiple choice,airliner,Vitamins,Towel,Biscuit,Airliner
8乘2等于6,4,4,6,True or False,FALSE,TRUE,FALSE,,
20被4除等于5,4,4,6,True or False,TRUE,TRUE,FALSE,,
12加10等于120,4,4,6,True or False,FALSE,TRUE,FALSE,,
48减40等于8,4,4,6,True or False,TRUE,TRUE,FALSE,,
加减乘除是用来算数目,4,4,6,True or False,TRUE,TRUE,FALSE,,
一瓶汽水，一块蛋糕____多少？,4,4,6,Fill in the blanks,一共,一共,找,多少,给
我____你五块。,4,4,6,Fill in the blanks,找,要,找,一共,多少
我____你一百块。,4,4,6,Fill in the blanks,给,多少,一共,要,给
这本书____钱？,4,4,6,Fill in the blanks,多少,给,要,多少,一共
你____买什么？,4,4,6,Fill in the blanks,要,要,给,找,一共
What is the meaning of 算账?,4,4,6,Multiple choice,settle accounts,Settle Accounts,Bank,Wood,Fire
What is the meaning of 冰淇淋?,4,4,6,Multiple choice,ice cream,Candy,Mango juice,Softdrinks,Ice cream
What is the meaning of 一共?,4,4,6,Multiple choice,total,Water,Door,total,refrigerator
What is the meaning of 等于?,4,4,6,Multiple choice,equal ,Socket,equal,light,knife
What is the meaning of 捣乱?,4,4,6,Multiple choice,make trouble,make trouble,candy,can ,forget
上课的时候，学生不可以淘气,1,1,5,True or False,FALSE,TRUE,FALSE,,
回家时不想做功课,1,1,5,True or False,FALSE,TRUE,FALSE,,
老师教你的时候要站起来回答,1,1,5,True or False,TRUE,TRUE,FALSE,,
跟同学吵架是不对的,1,1,5,True or False,TRUE,TRUE,FALSE,,
要做一个好学生，不一杠努力学习,1,1,5,True or False,FALSE,TRUE,FALSE,,
我上一年级的______心里有点儿害怕,1,1,5,Fill in the blanks,时候,再,只,像,时候
现在，我上三年级了，上课不______想家了,1,1,5,Fill in the blanks,再,跟,像,再,只
我不吃饭_____吃水果,1,1,5,Fill in the blanks,只,时候,跟,像,只
每天早上，他____姐姐一起去上学,1,1,5,Fill in the blanks,跟,更,像,再,时候
莉莉小时候很淘气，现在，她不____时候那么淘气了。,1,1,5,Fill in the blanks,像,像,只,更,再
What is the meaning of 害怕?,1,1,5,Multiple Choice,Fear,Fear,Shocked,Happy,Love
What is the meaning of 吵架?,1,1,5,Multiple Choice,quarrel,Quarrel,Friends,Towel,Chair
What is the meaning of 放假?,1,1,5,Multiple Choice,Have a holiday,Have a holiday,Table,Wood,Toothbrush
What is the meaning of 小时候?,1,1,5,Multiple Choice,childhood,Childhood,Friends,Family,House
What is the meaning of 开心？,1,1,5,Multiple Choice,happy,Happy,Sad,Inlove,Child
时间很宝贵,2,2,5,True or False,TRUE,TRUE,FALSE,,
学华语对我们不好处,2,2,5,True or False,FALSE,TRUE,FALSE,,
每个人都能听懂闽南话,2,2,5,True or False,FALSE,TRUE,FALSE,,
台湾离菲律宾元,2,2,5,True or False,TRUE,TRUE,FALSE,,
一分钟有六十秒,2,2,5,True or False,TRUE,TRUE,FALSE,,
你华语学了____时间了？,2,2,5,Fill in the blanks,多长,多大,多长,多高,多元
你爷爷今年___岁数了。,2,2,5,Fill in the blanks,多大,多大,多长,多长,多元
这座山有____?,2,2,5,Fill in the blanks,多高,多高,多元,多长,多大
从你家到学校有____？,2,2,5,Fill in the blanks,多元,多元,多长,多高,多大
每天晚上，你用____时间做功课?,2,2,5,Fill in the blanks,多长,多长,多元,多大,多高
What is the meaning of 客人?,2,2,5,Multiple Choice,guest,Guest,Plates,Water,Play
What is the meaning of 时间?,2,2,5,Multiple Choice,time,Door,Rain,Time,Wash
What is the meaning of 台湾?,2,2,5,Multiple Choice,Taiwan,Philippines,Taiwan,America,China
What is the meaning of 多长?,2,2,5,Multiple Choice,how long,How long,How much,How far,How many
What is the meaning of 平时?,2,2,5,Multiple Choice,usually,Usually,Once,Sometimes,Frequently
对客人要有礼貌,3,3,5,True or False,TRUE,TRUE,FALSE,,
爸爸妈妈不在家，陌生人都嫩进你家,3,3,5,True or False,FALSE,TRUE,FALSE,,
做练习功课可以在课室做,3,3,5,True or False,TRUE,TRUE,FALSE,,
你一个人在家的时候不用害怕,3,3,5,True or False,TRUE,TRUE,FALSE,,
有人打电话到你家，要立刻挂下,3,3,5,True or False,TRUE,TRUE,FALSE,,
莉莉学习越来越____。,3,3,5,Fill in the blanks,努力,董事,多,努力,快
弟弟上三年级了，越来越_____。,3,3,5,Fill in the blanks,董事,漂亮,董事,努里,多
老师留的攻克越来越_____了,3,3,5,Fill in the blanks,多,努力,多,快,漂亮
她的车开得越来越____了,3,3,5,Fill in the blanks,快,漂亮,董事,努力,快
姐姐长得越来越_____了,3,3,5,Fill in the blanks,漂亮,董事,多,快,漂亮
What is the meaning of 越来越?,3,3,5,Multiple Choice,More and more,More and more,Fast,Cap,Chips
What is the meaning of 公司?,3,3,5,Multiple Choice,company,Office,Company,School,House
What is the meaning of 球赛?,3,3,5,Multiple Choice,match,Match,Lights,Aircon,Car
What is the meaning of 记住?,3,3,5,Multiple Choice,remember,Window,Coke,Coffee,Remember
What is the meaning of 慢走?,3,3,5,Multiple Choice,walk slowly,Tea,Milktea,Stairs,Walk slowly
参加比赛，要懂得认输,4,4,5,True or False,TRUE,TRUE,FALSE,,
学校不需要加长会,4,4,5,True or False,FALSE,TRUE,FALSE,,
听，说，读，写会让我们更进步,4,4,5,True or False,TRUE,TRUE,FALSE,,
如果家长不能参加，要通知老师,4,4,5,True or False,TRUE,TRUE,FALSE,,
老师不会关心学生的学习,4,4,5,True or False,FALSE,TRUE,FALSE,,
家里_____有我一个人,4,4,5,Fill in the blanks,只,更,才,如果,只
爸爸出国了，妈妈____忙了,4,4,5,Fill in the blanks,更,等,更,只,才
每天早上出去，晚上很晚____回来,4,4,5,Fill in the blanks,才,如果,才,只,等
____小明回来，我告诉他,4,4,5,Fill in the blanks,等,只,如果,等,更
____明天不上课，请打电话告诉我,4,4,5,Fill in the blanks,如果,如果,等,才,更
What is the meaning of 开会?,4,4,5,Multiple Choice,meeting,Bread,Wallet,Meeting,Flower
What is the meaning of 家长?,4,4,5,Multiple Choice,parents,Parents,Sister,Brother,Airplane
What is the meaning of 如果?,4,4,5,Multiple Choice,if,If,But,Always,And
What is the meaning of 关心?,4,4,5,Multiple Choice,care,Book,Pencil,Pen,Care
What is the meaning of 课文?,4,4,5,Multiple Choice,text,Text,Call,Chair,Oil
